,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
128,Arizona,Sanders Elementary,Public,Sanders,Apache,42.0,100.0,92.06,4.33,2.0,7.53
129,Arizona,Santa Clara Elementary,Public,Tucson,Pima,70.0,100.0,92.06,4.33,2.0,7.53
130,Arizona,Santa Cruz Catholic,Private,Tucson,Pima,24.0,100.0,92.06,4.33,2.0,7.53
131,Arizona,Solomon Elementary,Public,Solomon,Graham,22.0,100.0,92.06,4.33,2.0,7.53
132,Arizona,South Pointe Public Charter Elementary,Charter,Phoenix,Maricopa,47.0,100.0,92.06,4.33,2.0,7.53
133,Arizona,Southgate Academy,Charter,Tucson,Pima,59.0,100.0,92.06,4.33,2.0,7.53
134,Arizona,Southwest Elementary,Public,Phoenix,Maricopa,55.0,100.0,92.06,4.33,2.0,7.53
135,Arizona,Summit View Elementary,Public,Tucson,Pima,68.0,100.0,92.06,4.33,2.0,7.53
136,Arizona,Sunridge Elementary,Public,Phoenix,Maricopa,89.0,100.0,92.06,4.33,2.0,7.53
137,Arizona,Sunset Elementary,Public,Phoenix,Maricopa,111.0,100.0,92.06,4.33,2.0,7.53
138,Arizona,T G Barr,Public,Phoenix,Maricopa,39.0,100.0,92.06,4.33,2.0,7.53
139,Arizona,Tolson Elementary,Public,Tucson,Pima,55.0,100.0,92.06,4.33,2.0,7.53
140,Arizona,Town & Country Elementary,Public,Sierra Vista,Cochise,50.0,100.0,92.06,4.33,2.0,7.53
141,Arizona,Tres Rios Elementary,Public,Tolleson,Maricopa,73.0,100.0,92.06,4.33,2.0,7.53
142,Arizona,Tsaile Elementary,Public,Tsaile,Apache,62.0,100.0,92.06,4.33,2.0,7.53
143,Arizona,Tuscano Elementary,Public,Phoenix,Maricopa,94.0,100.0,92.06,4.33,2.0,1.06
144,Arizona,Valley Horizon Elementary,Public,Yuma,Yuma,61.0,100.0,92.06,4.33,2.0,7.53
145,Arizona,Valley View,Public,Phoenix,Maricopa,57.0,100.0,92.06,4.33,2.0,7.53
146,Arizona,Van Buskirk Elementary,Public,Tucson,Pima,47.0,100.0,92.06,4.33,2.0,7.53
147,Arizona,W F Killip Elementary,Public,Flagstaff,Coconino,57.0,100.0,92.06,4.33,2.0,7.53
